Designator,Mid X,Mid Y,Rotation,Layer
U10,150.0075,-78.1575,90.0,top
U11,145.875,-78.125,0.0,top
U12,132.54119,-90.337564,0.0,top
U13,148.15,-92.91,90.0,top
U14,140.875,-83.875,90.0,top
U15,111.625,-94.675,270.0,top
U16,164.88447,-114.204648,45.0,top
U17,162.893965,-112.2,45.0,top
U18,160.906995,-110.191817,45.0,top
U19,123.375,-96.525,90.0,top
U2,188.7,-130.25,90.0,top
U20,158.91997,-108.212501,45.0,top
U21,162.2,-118.5,0.0,top
U22,170.1975,-117.525,180.0,top
U23,181.618763,-116.375,270.0,top
U24,111.4375,-133.6,0.0,top
U25,154.5,-73.015,0.0,top
U3,160.0375,-95.75,270.0,top
U4,177.675,-79.9675,180.0,top
U5,191.175,-78.175,180.0,top
U6,114.504987,-82.725,0.0,top
U7,105.55,-84.455,0.0,top
U8,104.075,-80.325,270.0,top
U9,107.625,-78.675,90.0,top
USBC1,114.492142,-75.472456,180.0,top
USBC2,137.492142,-75.475,180.0,top
