Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C100, C11, C12, C13, C14, C15, C16, C17, C18, C19, C2, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C3, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C4, C40, C41, C42, C43, C44, C45, C46, C47, C48, C49, C5, C50, C51, C52, C53, C54, C55, C56, C57, C58, C59, C6, C60, C61, C62, C63, C64, C65, C66, C67, C68, C69, C7, C70, C71, C72, C73, C74, C75, C76, C77, C78, C79, C8, C80, C81, C82, C83, C84, C85, C86, C87, C88, C89, C9, C90, C91, C92, C93, C94, C95, C96, C97, C98, C99",0402,100,100nF,
"C101, C102, C103, C104, C105, C106, C107, C108, C109, C110, C111, C112, C113, C114, C115",C19673858_CAP-SMD_BD6_3-L6_5-W6_5-LS7_2-FD_1,15,100uF,C19673858
CN1,C264992_CONN-TH_B03B-XASK-1-A-LF-SN,1,B03B-XASK-1-A(LF)(SN),C264992
R1,0402,1,470R,
TP1,TestPoint_Pad_D1.0mm,1,DOUT,
"TP10, TP11, TP12, TP3, TP4, TP5, TP6, TP7, TP8, TP9",TestPoint_Pad_D1.0mm,10,+12V,
TP2,TestPoint_Pad_D1.0mm,1,DOUT_B,
"U1, U10, U100, U11, U12, U13, U14, U15, U16, U17, U18, U19, U2, U20, U21, U22, U23, U24, U25, U26, U27, U28, U29, U3, U30, U31, U32, U33, U34, U35, U36, U37, U38, U39, U4, U40, U41, U42, U43, U44, U45, U46, U47, U48, U49, U5, U50, U51, U52, U53, U54, U55, U56, U57, U58, U59, U6, U60, U61, U62, U63, U64, U65, U66, U67, U68, U69, U7, U70, U71, U72, U73, U74, U75, U76, U77, U78, U79, U8, U80, U81, U82, U83, U84, U85, U86, U87, U88, U89, U9, U90, U91, U92, U93, U94, U95, U96, U97, U98, U99",C22371533_LED-SMD_6P-L5_0-W5_0-TL,100,WS2815F,C22371533
