Designator,Mid X,Mid Y,Rotation,Layer
U5,152.0,-52.0,0.0,top
U50,102.0,-92.0,0.0,top
U51,102.0,-102.0,180.0,top
U52,152.0,-102.0,180.0,top
U53,112.0,-102.0,180.0,top
U54,162.0,-102.0,180.0,top
U55,122.0,-102.0,180.0,top
U56,172.0,-102.0,180.0,top
U57,132.0,-102.0,180.0,top
U58,182.0,-102.0,180.0,top
U59,142.0,-102.0,180.0,top
U6,142.0,-52.0,0.0,top
U60,192.0,-102.0,180.0,top
U61,192.0,-112.0,0.0,top
U62,142.0,-112.0,0.0,top
U63,182.0,-112.0,0.0,top
U64,132.0,-112.0,0.0,top
U65,172.0,-112.0,0.0,top
U66,122.0,-112.0,0.0,top
U67,162.0,-112.0,0.0,top
U68,112.0,-112.0,0.0,top
U69,152.0,-112.0,0.0,top
U7,132.0,-52.0,0.0,top
U70,102.0,-112.0,0.0,top
U71,102.0,-122.0,180.0,top
U72,152.0,-122.0,180.0,top
U73,112.0,-122.0,180.0,top
U74,162.0,-122.0,180.0,top
U75,122.0,-122.0,180.0,top
U76,172.0,-122.0,180.0,top
U77,132.0,-122.0,180.0,top
U78,182.0,-122.0,180.0,top
U79,142.0,-122.0,180.0,top
U8,122.0,-52.0,0.0,top
U80,192.0,-122.0,180.0,top
U81,192.0,-132.0,0.0,top
U82,142.0,-132.0,0.0,top
U83,182.0,-132.0,0.0,top
U84,132.0,-132.0,0.0,top
U85,172.0,-132.0,0.0,top
U86,122.0,-132.0,0.0,top
U87,162.0,-132.0,0.0,top
U88,112.0,-132.0,0.0,top
U89,152.0,-132.0,0.0,top
U9,112.0,-52.0,0.0,top
U90,102.0,-132.0,0.0,top
U91,102.0,-142.0,180.0,top
U92,152.0,-142.0,180.0,top
U93,112.0,-142.0,180.0,top
U94,162.0,-142.0,180.0,top
U95,122.0,-142.0,180.0,top
U96,172.0,-142.0,180.0,top
U97,132.0,-142.0,180.0,top
U98,182.0,-142.0,180.0,top
U99,142.0,-142.0,180.0,top
